original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
"This might quite possibly be the [[worst]] movie I have ever [[seen]]. I knew it was a B-movie before watching it (it was actually the reason for watching it), but I'd never thought it could be this [[bad]]. The title promises Dracula in space and does deliver, however, the story makes no real use of the fact that Casper van Dien's character is a descendant of Van Helsing. And watch out for the ending of the movie, it [[comes]] at you fast. I've never seen an ending scream out ""And now we're over budget!"" in a clearer [[fashion]]. Their resolution of the movie was rather comic though, the [[story]] had so obviously painted itself into a corner. [[If]] you feel you have to see it, watch it with a friend who shares your love of B-movies. If I hadn't, I wouldn't have [[made]] it to the end.","This might quite possibly be the [[worOst]] movie I have ever [[Zseen]]. I knew it was a B-movie before watching it (it was actually the reason for watching it), but I'd never thought it could be this [[Cbad]]. The title promises Dracula in space and does deliver, however, the story makes no real use of the fact that Casper van Dien's character is a descendant of Van Helsing. And watch out for the ending of the movie, it [[comPes]] at you fast. I've never seen an ending scream out ""And now we're over budget!"" in a clearer [[fsahion]]. Their resolution of the movie was rather comic though, the [[stXry]] had so obviously painted itself into a corner. [[I]] you feel you have to see it, watch it with a friend who shares your love of B-movies. If I hadn't, I wouldn't have [[ade]] it to the end.",0.0029912590980529785,0.7234190106391907,0,1,0,112,Successful
"Half Past Dead was unlike any Steven Segal film I've ever seen. Very [[little]] of Segal, himself in action and I agree with the last review I read, Nia Peeples steals the show.<br /><br />I saw nothing really new here, just the same old stuff from other flicks changed around a little. The best action scenes were Nia's as she once again kicked butt. It was interesting seeing her as the bad guy after watching her for two seasons on Walker, Texas Ranger, still kicking butt, but for the good guys.<br /><br />","Half Past Dead was unlike any Steven Segal film I've ever seen. Very [[Zittle]] of Segal, himself in action and I agree with the last review I read, Nia Peeples steals the show.<br /><br />I saw nothing really new here, just the same old stuff from other flicks changed around a little. The best action scenes were Nia's as she once again kicked butt. It was interesting seeing her as the bad guy after watching her for two seasons on Walker, Texas Ranger, still kicking butt, but for the good guys.<br /><br />",0.23747414350509644,0.9613796472549438,0,1,0,67,Successful
"My tolerance for shlocky direction was overwhelmed by some of the choices in this could-be-really-good [[time-waster]].<br /><br />When the ""romantic"" intervals were of a nature to take me out of the story and into ""How-and-why-did-the-movie-maker-do-/that/?"" mode, you got to figure something is missing in there; restraint and tastefulness, I think.<br /><br />Brian Brown is a capable, empathetic actor - usually. I think he didn't like the project or the people, and it shows. I don't remember anything the other guy did. Can't even picture his face.<br /><br />On the other hand, it doesn't have to be any [[good]] to be entertaining; some of the vignettes and twists are fun and even ingenious.<br /><br />I watched this movie ($2.00 purchase at the vid rental place) against the advice of the screenwriter; I understand he was tempted to remove his name from the credits. Matter of pride, I bet.","My tolerance for shlocky direction was overwhelmed by some of the choices in this could-be-really-good [[time-watser]].<br /><br />When the ""romantic"" intervals were of a nature to take me out of the story and into ""How-and-why-did-the-movie-maker-do-/that/?"" mode, you got to figure something is missing in there; restraint and tastefulness, I think.<br /><br />Brian Brown is a capable, empathetic actor - usually. I think he didn't like the project or the people, and it shows. I don't remember anything the other guy did. Can't even picture his face.<br /><br />On the other hand, it doesn't have to be any [[ogod]] to be entertaining; some of the vignettes and twists are fun and even ingenious.<br /><br />I watched this movie ($2.00 purchase at the vid rental place) against the advice of the screenwriter; I understand he was tempted to remove his name from the credits. Matter of pride, I bet.",0.039065778255462646,0.9233953952789307,0,1,0,91,Successful
"I, like many this evening braved the frigid winter and long lines to see what I had anticipated to be one of the best movies of this year. However, I was left sadly wanting in many ways after the credits rolled. But to be fair, there were redeemable qualities (although very few). Let's start with what worked. First, the Lycans: on point in every way  from their terrifying physicality to their sheer ferocity. The action: sublimely visceral  when it did occur. Nighy/Victor and Sheen/Lucian: Perfect. Now, what did not (and there is plenty). This was less a movie and more a collage of sequences (and do not expect to see any supporting characters from the other movies except Raze and Tannis). Profoundly missing was a well written storyline and [[anything]] of real substance to bring these pieces of film together. The story seemed to start right in the middle  at the cusp where Lucian had made up his mind to rebel. Therefore, there was no context; no tension; no sense of betrayal  the devices needed to make everything else work. Moreover, it ended at where the climax should have begun (which needed to be after the feud had simmered for a bit). Oh and it was way too short. Purist will also find offense in some liberties taken to certain facts previously revealed in the first two moviesbut judge that for yourself. In the end, this movie lingered to long on what should have been brief ""background"" scenes (e.g. various council scenes), and as a consequence we never really got to know or care about the principal players...or the movie (ouch). -D","I, like many this evening braved the frigid winter and long lines to see what I had anticipated to be one of the best movies of this year. However, I was left sadly wanting in many ways after the credits rolled. But to be fair, there were redeemable qualities (although very few). Let's start with what worked. First, the Lycans: on point in every way  from their terrifying physicality to their sheer ferocity. The action: sublimely visceral  when it did occur. Nighy/Victor and Sheen/Lucian: Perfect. Now, what did not (and there is plenty). This was less a movie and more a collage of sequences (and do not expect to see any supporting characters from the other movies except Raze and Tannis). Profoundly missing was a well written storyline and [[anathing]] of real substance to bring these pieces of film together. The story seemed to start right in the middle  at the cusp where Lucian had made up his mind to rebel. Therefore, there was no context; no tension; no sense of betrayal  the devices needed to make everything else work. Moreover, it ended at where the climax should have begun (which needed to be after the feud had simmered for a bit). Oh and it was way too short. Purist will also find offense in some liberties taken to certain facts previously revealed in the first two moviesbut judge that for yourself. In the end, this movie lingered to long on what should have been brief ""background"" scenes (e.g. various council scenes), and as a consequence we never really got to know or care about the principal players...or the movie (ouch). -D",0.242806077003479,0.716079831123352,0,1,0,155,Successful
"The over-riding problem with this film is that it can't possibly use Bill Murray to the best of his abilities, simply because of the co-star.<br /><br />If this was a road movie with another comedic actor, it might work. Even if they were both trying to get the elephant across the country, it would at least allow for them to share some amusing dialogue. As it stands, Murray is left talking to an elephant who cannot answer back with witty banter. Essentially, it means that Murray is talking to himself, and this makes the film more [[boring]] than it could have been had he had another character to bounce off.<br /><br />Kids would enjoy this movie,simply because of the elephant, but anyone wanting to watch Bill Murray's biting delivery and enjoy an excellent script needs to look somewhere else.","The over-riding problem with this film is that it can't possibly use Bill Murray to the best of his abilities, simply because of the co-star.<br /><br />If this was a road movie with another comedic actor, it might work. Even if they were both trying to get the elephant across the country, it would at least allow for them to share some amusing dialogue. As it stands, Murray is left talking to an elephant who cannot answer back with witty banter. Essentially, it means that Murray is talking to himself, and this makes the film more [[borin]] than it could have been had he had another character to bounce off.<br /><br />Kids would enjoy this movie,simply because of the elephant, but anyone wanting to watch Bill Murray's biting delivery and enjoy an excellent script needs to look somewhere else.",0.062580406665802,0.7206895351409912,0,1,0,84,Successful
"I thought I was going to see a UFO movie. Instead, I saw a movie that was trying to make the audience (me) make the decision to accept Christ in my life, or risk going to Hell. The whole UFO thing was one big red [[herring]]!!! [[The]] [[acting]] in it was pretty [[pathetic]]. In fact, it looked as though some people from an [[Evangelic]] Church just got got together and decided they wanted to make a movie. All the characters talked as though they were in church [[conversing]] with other church members. It wasn't [[real-life]] dialog at all. I wish I had read some reviews before seeing this movie so I wouldn't have wasted my money on it. [[If]], on the other hand, you are into the whole church scene in a big way, and want to see a demonstration of how to push your views (no matter how limiting) onto other people, then by all means, go see it.","I thought I was going to see a UFO movie. Instead, I saw a movie that was trying to make the audience (me) make the decision to accept Christ in my life, or risk going to Hell. The whole UFO thing was one big red [[herriLng]]!!! [[he]] [[Dcting]] in it was pretty [[pahetic]]. In fact, it looked as though some people from an [[vEangelic]] Church just got got together and decided they wanted to make a movie. All the characters talked as though they were in church [[onversing]] with other church members. It wasn't [[repal-life]] dialog at all. I wish I had read some reviews before seeing this movie so I wouldn't have wasted my money on it. [[I]], on the other hand, you are into the whole church scene in a big way, and want to see a demonstration of how to push your views (no matter how limiting) onto other people, then by all means, go see it.",0.0030338168144226074,0.7160612344741821,0,1,0,121,Successful
"Don't worry - no spoilers here, just saying there is a very predictable [[plot]]. A couple decide to live in his father's love nest so they can write a book/article/newsletter on his fling with a famous tragic Hollywood starlet. This whole production [[ran]] [[kind]] of [[like]] a high school troupe doing an episode of ""Murder She Wrote"". The only [[acting]] I was sold on was the [[old]] fogy's they interviewed for sources in the story. Apparently the directors thought the movie was getting too long, so towards the end they [[stopped]] pointing their camera to a kind of [[creepy]] image of the [[starlet]] and [[brought]] in plot enhancers to wrap this thing up. Don't [[waste]] your [[time]] - [[even]] the tried and true horror/intrigue classics [[fail]] in this movie.","Don't worry - no spoilers here, just saying there is a very predictable [[ploat]]. A couple decide to live in his father's love nest so they can write a book/article/newsletter on his fling with a famous tragic Hollywood starlet. This whole production [[raz]] [[kin]] of [[ike]] a high school troupe doing an episode of ""Murder She Wrote"". The only [[aczing]] I was sold on was the [[Told]] fogy's they interviewed for sources in the story. Apparently the directors thought the movie was getting too long, so towards the end they [[stoppec]] pointing their camera to a kind of [[creeLpy]] image of the [[starle]] and [[bruoght]] in plot enhancers to wrap this thing up. Don't [[wwste]] your [[tim]] - [[eevn]] the tried and true horror/intrigue classics [[fai]] in this movie.",0.0025891661643981934,0.7232778668403625,0,1,0,267,Successful
"I caught this movie a few years ago one night, and it was one of the funniest movies I have ever seen. However, since it is supposed to be an action movie, I cannot give it more stars since the humor was [[unintentional]].<br /><br />Chuck Norris plays a truck driver who comes home from the road to see his family, and within the first five minutes the conflict arises which leads Chuck to seek vengeance for the rest of the film. Good thing too, 'cuz the sub-par acting by everyone involved was starting to get old very fast. Actually, the judge was pretty good, but I can't really describe what makes him work, you'll have to check it out for yourself.<br /><br />And the custom van Chuck Norris drives is hideously classic!","I caught this movie a few years ago one night, and it was one of the funniest movies I have ever seen. However, since it is supposed to be an action movie, I cannot give it more stars since the humor was [[uinntentional]].<br /><br />Chuck Norris plays a truck driver who comes home from the road to see his family, and within the first five minutes the conflict arises which leads Chuck to seek vengeance for the rest of the film. Good thing too, 'cuz the sub-par acting by everyone involved was starting to get old very fast. Actually, the judge was pretty good, but I can't really describe what makes him work, you'll have to check it out for yourself.<br /><br />And the custom van Chuck Norris drives is hideously classic!",0.3681754469871521,0.8181268572807312,0,1,0,86,Successful
"...[[un-funny]] and [[un-entertaining]], possibly the [[worst]] [[movie]] I have ever had the misfortune to watch. Think 'Ernest goes to..' humour done even [[worse]]. Myself and my girlfriend [[sat]] through it just to [[see]] if it could be as [[consistently]] [[dire]] as it [[seems]] in the opening sequence... Yes it is. [[Avoid]] at all [[costs]].","...[[un-funnh]] and [[uvn-entertaining]], possibly the [[owrst]] [[mjovie]] I have ever had the misfortune to watch. Think 'Ernest goes to..' humour done even [[worose]]. Myself and my girlfriend [[sa]] through it just to [[ee]] if it could be as [[cnosistently]] [[dbire]] as it [[sees]] in the opening sequence... Yes it is. [[vAoid]] at all [[bosts]].",0.002438187599182129,0.9728147387504578,0,1,0,113,Successful
"[[Nothing]] about this movie [[stands]] out as either being great or terrible.<br /><br />[[In]] the end, that is what [[kills]] it. The [[blandness]] is just not [[good]]. I can't say I expected better from Will Smith, but I definitely did from Kevin James of ""The King of Queens""-- but, hey, [[I'm]] getting used to saying that a lot lately. This film [[attempts]] to make its mark as a witty romantic comedy, but it [[never]] hits the bull's-eye. [[In]] fact, it [[never]] hits *[[anywhere*]] within the target. The allergy scene is disturbing; the fact that Kevin James [[can't]] dance is something that wouldn't exactly catch anybody off-guard, and is therefore (in a movie like this) not [[funny]]. This movie constantly [[tries]] to win your heart, but always with the wrong ploy at the wrong time. [[Some]] parts are okay (but I'm searching my brain for examples), but I really think this movie should be [[avoided]].","[[NoWthing]] about this movie [[stand]] out as either being great or terrible.<br /><br />[[I]] the end, that is what [[kMills]] it. The [[blnadness]] is just not [[goo]]. I can't say I expected better from Will Smith, but I definitely did from Kevin James of ""The King of Queens""-- but, hey, '[[Im]] getting used to saying that a lot lately. This film [[attemts]] to make its mark as a witty romantic comedy, but it [[ever]] hits the bull's-eye. [[IT]] fact, it [[neveL]] hits *[[anywhere]] within the target. The allergy scene is disturbing; the fact that Kevin James [[can']] dance is something that wouldn't exactly catch anybody off-guard, and is therefore (in a movie like this) not [[funy]]. This movie constantly [[treis]] to win your heart, but always with the wrong ploy at the wrong time. [[Soae]] parts are okay (but I'm searching my brain for examples), but I really think this movie should be [[avoiedd]].",0.0024858713150024414,0.7545989751815796,0,1,0,206,Successful
This is the first Woody Allen film I've [[found]] not [[worth]] watching. I think Woody has tried many different genres to [[interest]] results but this movie just [[left]] me [[irritated]] and [[bored]]. The music is lovely but don't [[bother]] watching this [[hopeless]] [[mock-umentary]].,This is the first Woody Allen film I've [[ofund]] not [[wrth]] watching. I think Woody has tried many different genres to [[interet]] results but this movie just [[leift]] me [[irritatKd]] and [[ored]]. The music is lovely but don't [[botCher]] watching this [[hopeelss]] [[mock-umenary]].,0.0025679469108581543,0.7975218892097473,0,1,0,93,Successful
